"","V1","V2","V3","V4","V5"
"1",0.0328731867103416,0.00947590079550772,0.0113476836686944,0.00655124005615349,0.939751988769303
"2",0.0105457421566043,0.583311363037174,0.120616925916161,0.0098866332718165,0.275639335618244
"3",0.00363783346806791,0.00191996766370251,0.98251818916734,0.00111156022635408,0.0108124494745352
"4",0.00677966101694915,0.0126804770872567,0.0150659133709981,0.00338983050847458,0.962084118016321
"5",0.736086662153013,0.0253215978334462,0.0041976980365606,0.0029790115098172,0.231415030467163
"6",0.0200075858145268,0.0275934003413617,0.082780201024085,0.0152664517352551,0.854352361084772
"7",0.00594601022713759,0.110120109406588,0.0168866690450708,0.00487572838625282,0.862171482934951
"8",0.812511365702855,0.00118203309692671,0.00200036370249136,0.18303327877796,0.00127295871976723
"9",0.0478291563713378,0.0214436992587363,0.895958348040946,0.012266148958701,0.0225026473702789
"10",0.0048443922489724,0.0212859659424545,0.0441867293012331,0.0133587786259542,0.916324133881386
"11",0.0128396193969964,0.0224693339447438,0.927662501432993,0.0262524360885017,0.0107761091367649
"12",0.854993691157915,0.016888284965544,0.109773852276036,0.00339706881490828,0.0149471027855964
"13",0.00229789011907249,0.00417798203467725,0.00177564236473783,0.00135784416127011,0.990390641320242
"14",0.0032175746144458,0.00199711527793188,0.00177521358038389,0.991345833795629,0.0016642627316099
"15",0.030952380952381,0.0301587301587302,0.900396825396825,0.0165674603174603,0.0219246031746032
"16",0.00254600162018285,0.0026617289665548,0.00219881958106701,0.990741812290244,0.00185163754195116
"17",0.00403643138066653,0.0149037466363072,0.00403643138066653,0.00134547712688884,0.975677913475471
"18",0.00259565468179196,0.990963276293021,0.00355700826764084,0.00124975966160354,0.00163430109594309
"19",0.00554122480175791,0.00477691793254992,0.0345848858316614,0.00210184389032196,0.952995127543709
"20",0.0151249654154754,0.0181684035783455,0.140274831688647,0.821082726182791,0.00534907313474131
"21",0.938725490196078,0.0065359477124183,0.0224673202614379,0.0159313725490196,0.0163398692810458
"22",0.0204304274521472,0.838341763364078,0.116830308439948,0.0093226222354458,0.0150748785083804
"23",0.00298161338413119,0.986251449395395,0.00530064601623323,0.00314725857213848,0.00231903263210204
"24",0.826011056153622,0.00484919018523907,0.00707981767044904,0.00281253030743866,0.159247405683251
"25",0.000943040362127499,0.850245190494153,0.00254620897774425,0.001131648434553,0.145133911731422
"26",0.00102031351451628,0.00148409238475095,0.97337909284853,0.00120582506261015,0.0229106761895928
"27",0.0239881448550523,0.767898490321386,0.05390386218394,0.0114846716680559,0.142724830971566
"28",0.111569301260023,0.82680412371134,0.025085910652921,0.00492554410080183,0.0316151202749141
"29",0.979591836734694,0.00786369593709043,0.00449354053548025,0.00524246395806029,0.00280846283467515
"30",0.0164624808575804,0.0141653905053599,0.938361408882083,0.0111026033690658,0.0199081163859112
"31",0.806868994386833,0.018932546855675,0.157644372562078,0.00704024355437161,0.00951384264104272
"32",0.0228818800247372,0.0142238713667285,0.0276747062461348,0.919604205318491,0.0156153370439085
"33",0.00314004605400879,0.00481473728281348,0.00565208289721583,0.0030353778522085,0.983357755913753
"34",0.0777591973244147,0.0746536072623029,0.72742474916388,0.0794314381270903,0.0407310081223125
"35",0.00928096912856585,0.0179757717858538,0.0578350918327472,0.00595935912465807,0.908948808128175
"36",0.0644280205655527,0.0187982005141388,0.0226542416452442,0.889781491002571,0.00433804627249357
"37",0.00115008625646924,0.00262876858621539,0.00156083134806539,0.0013143842931077,0.993345929516142
"38",0.993300350443208,0.00144300144300144,0.0015460729746444,0.00257678829107401,0.00113378684807256
"39",0.0687347931873479,0.107258718572587,0.641828872668289,0.0342660178426602,0.147911597729116
"40",0.00331934003709851,0.0192326466855413,0.0126915942594943,0.00273357414819877,0.962022844869667
"41",0.00202306291725673,0.930710095083957,0.00313574752174793,0.00182075662553105,0.0623103378515072
"42",0.0202321371525929,0.00330103290384411,0.0152273453306357,0.1627089766798,0.798530507933127
"43",0.00819025064140517,0.0364120781527531,0.920959147424512,0.00473653049141504,0.0297019932899151
"44",0.00340771682972408,0.00175882158953501,0.00208860063757283,0.990986039353633,0.00175882158953501
"45",0.0103689414034242,0.9550277308898,0.0026525198938992,0.0289365806607186,0.00301422715215819
"46",0.00272947836635665,0.00384148807116862,0.0127375657096644,0.550748079255964,0.429943388596846
"47",0.00215447592373155,0.00947969406441883,0.00344716147797048,0.811806528062049,0.17311214047183
"48",0.00854866912764717,0.0262288711870993,0.932970662521857,0.00689722168253351,0.0253545754808626
"49",0.0272774060730829,0.809675759135358,0.0986103962943901,0.0152341739577972,0.0492022645393721
"50",0.00184037194885703,0.991573033707865,0.00271212708252615,0.00232468035645099,0.00154978690430066
