"","V1"
"tweet124.txt",2
"tweet1240.txt",5
"tweet1241.txt",1
"tweet1242.txt",5
"tweet1243.txt",1
"tweet1244.txt",3
"tweet1245.txt",3
"tweet1246.txt",1
"tweet1247.txt",2
"tweet1248.txt",1
"tweet1249.txt",2
"tweet125.txt",3
"tweet1250.txt",4
"tweet1251.txt",1
"tweet1252.txt",5
"tweet1253.txt",5
"tweet1254.txt",4
"tweet1255.txt",3
"tweet1256.txt",5
"tweet1257.txt",1
"tweet1258.txt",4
"tweet1259.txt",3
"tweet126.txt",3
"tweet1260.txt",1
"tweet1261.txt",1
"tweet1262.txt",2
"tweet1263.txt",2
"tweet1264.txt",1
"tweet1265.txt",3
"tweet1266.txt",3
"tweet1267.txt",1
"tweet1268.txt",1
"tweet1269.txt",3
"tweet127.txt",1
"tweet1270.txt",1
"tweet1271.txt",1
"tweet1272.txt",5
"tweet1273.txt",2
"tweet1274.txt",1
"tweet1275.txt",3
"tweet1276.txt",1
"tweet1277.txt",3
"tweet1278.txt",5
"tweet1279.txt",4
"tweet128.txt",5
"tweet1280.txt",5
"tweet1281.txt",2
"tweet1282.txt",4
"tweet1283.txt",4
"tweet1284.txt",1
"tweet1285.txt",2
"tweet1286.txt",3
"tweet1287.txt",4
"tweet1288.txt",5
"tweet1289.txt",3
"tweet129.txt",1
"tweet1290.txt",3
"tweet1291.txt",4
"tweet1292.txt",3
"tweet1293.txt",3
"tweet1294.txt",3
"tweet1295.txt",5
"tweet1296.txt",1
"tweet1297.txt",3
"tweet1298.txt",4
"tweet1299.txt",4
"tweet13.txt",4
"tweet130.txt",1
"tweet1300.txt",3
"tweet1301.txt",3
"tweet1302.txt",5
"tweet1303.txt",5
"tweet1304.txt",5
"tweet1305.txt",3
"tweet1306.txt",4
"tweet1307.txt",1
"tweet1308.txt",1
"tweet1309.txt",1
"tweet131.txt",3
"tweet1310.txt",5
"tweet1311.txt",1
"tweet1312.txt",4
"tweet1313.txt",4
"tweet1314.txt",1
"tweet1315.txt",5
"tweet1316.txt",3
"tweet1317.txt",4
"tweet1318.txt",4
"tweet1319.txt",3
"tweet132.txt",4
"tweet1320.txt",2
"tweet1321.txt",3
"tweet1322.txt",4
"tweet1323.txt",1
"tweet1324.txt",5
"tweet1325.txt",1
"tweet1326.txt",3
"tweet1327.txt",5
"tweet1328.txt",4
"tweet1329.txt",3
"tweet133.txt",3
"tweet1330.txt",4
"tweet1331.txt",2
"tweet1332.txt",4
"tweet1333.txt",4
"tweet1334.txt",2
"tweet1335.txt",4
"tweet1336.txt",5
"tweet1337.txt",3
"tweet1338.txt",5
"tweet1339.txt",1
"tweet134.txt",4
"tweet1340.txt",5
"tweet1341.txt",2
"tweet1342.txt",4
"tweet1343.txt",5
"tweet1344.txt",3
"tweet1345.txt",1
"tweet1346.txt",5
"tweet1347.txt",2
"tweet1348.txt",5
"tweet1349.txt",3
"tweet135.txt",5
"tweet1350.txt",5
"tweet1351.txt",4
"tweet1352.txt",4
"tweet1353.txt",1
"tweet1354.txt",4
"tweet1355.txt",1
"tweet1356.txt",2
"tweet1357.txt",5
"tweet1358.txt",2
"tweet1359.txt",5
"tweet136.txt",3
"tweet1360.txt",5
"tweet1361.txt",4
"tweet1362.txt",5
"tweet1363.txt",4
"tweet1364.txt",5
"tweet1365.txt",3
"tweet1366.txt",5
"tweet1367.txt",5
"tweet1368.txt",5
"tweet1369.txt",5
"tweet137.txt",1
"tweet1370.txt",3
"tweet1371.txt",3
"tweet1372.txt",4
"tweet1373.txt",3
"tweet1374.txt",1
"tweet1375.txt",3
"tweet1376.txt",4
"tweet1377.txt",1
"tweet1378.txt",2
"tweet1379.txt",5
"tweet138.txt",3
"tweet1380.txt",1
"tweet1381.txt",2
"tweet1382.txt",1
"tweet1383.txt",4
"tweet1384.txt",2
"tweet1385.txt",4
"tweet1386.txt",5
"tweet1387.txt",1
"tweet1388.txt",1
"tweet1389.txt",1
"tweet139.txt",5
"tweet1390.txt",4
"tweet1391.txt",2
"tweet1392.txt",3
"tweet1393.txt",2
"tweet1394.txt",4
"tweet1395.txt",1
"tweet1396.txt",4
"tweet1397.txt",1
"tweet1398.txt",5
"tweet1399.txt",4
"tweet14.txt",3
"tweet140.txt",5
"tweet1400.txt",1
"tweet1401.txt",1
"tweet1402.txt",5
"tweet1403.txt",5
"tweet1404.txt",5
"tweet1405.txt",4
"tweet1406.txt",5
"tweet1407.txt",1
"tweet1408.txt",4
"tweet1409.txt",4
"tweet141.txt",3
"tweet1410.txt",3
"tweet1411.txt",5
"tweet1412.txt",3
"tweet1413.txt",4
"tweet1414.txt",1
"tweet1415.txt",1
"tweet1416.txt",4
"tweet1417.txt",2
"tweet1418.txt",4
"tweet1419.txt",3
"tweet142.txt",5
"tweet1420.txt",2
"tweet1421.txt",2
"tweet1422.txt",5
"tweet1423.txt",3
"tweet1424.txt",4
"tweet1425.txt",5
"tweet1426.txt",1
"tweet1427.txt",4
"tweet1428.txt",4
"tweet1429.txt",5
